Date,Item,Shortage Qty 
31-08-2023,00M06,2
31-08-2023,2226,3872
31-08-2023,2088,4040
31-08-2023,02MU0,1
31-08-2023,06XD4,1
31-08-2023,0GDGO,14
31-08-2023,0KOI2,11
31-08-2023,0KZQ4,50
31-08-2023,2860M,20
31-08-2023,28MKK,20
31-08-2023,2XZGU,125
31-08-2023,28K66,15
31-08-2023,2DDKI,15
31-08-2023,4282X,5
31-08-2023,42Z8U,10
31-08-2023,68DXD,66
31-08-2023,6SXXK,5
31-08-2023,68426,250
31-08-2023,6O8KZ,30
31-08-2023,6V80G,33
31-08-2023,86OVQ,15
31-08-2023,8GKXD,10
31-08-2023,8U400,146
31-08-2023,02K4G,15
31-08-2023,0X8D4,30
31-08-2023,D0K2X,15
31-08-2023,D2D68,60
31-08-2023,D6SOI,37
31-08-2023,DZX0I,35
31-08-2023,DXD0I,46
31-08-2023,G466D,11
31-08-2023,G4KXU,10
31-08-2023,G048K,44
31-08-2023,I0UU6,5
31-08-2023,IGX4U,835
31-08-2023,IOXII,11
31-08-2023,IUQK8,3072
31-08-2023,IZV0Q,5
31-08-2023,KG2DI,25
31-08-2023,MKG82,4253
31-08-2023,MOIK6,25
31-08-2023,MQDGD,40
31-08-2023,MXSGO,15
31-08-2023,O4GXK,23
31-08-2023,QDVQ0,16
31-08-2023,S0446,600
31-08-2023,SGGKK,15
31-08-2023,SOM26,20
31-08-2023,U208K,108
31-08-2023,VSUO0,15
31-08-2023,X060X,12
31-08-2023,X8SV8,20
31-08-2023,XI6D2,93
31-08-2023,XQGM0,20
31-08-2023,XXZ28,49
31-08-2023,X6XGK,15
31-08-2023,XG0XI,2
31-08-2023,Z2S00,40
31-08-2023,Z8SDD,15
31-08-2023,ZIUK0,69
01-09-2023,00M06,2
01-09-2023,2226,3872
01-09-2023,2088,4040
01-09-2023,02MU0,1
01-09-2023,06XD4,1
01-09-2023,0GDGO,14
01-09-2023,0KOI2,11
01-09-2023,0KZQ4,50
01-09-2023,2860M,20
01-09-2023,28MKK,20
01-09-2023,2XZGU,125
01-09-2023,28K66,15
01-09-2023,2DDKI,15
01-09-2023,4282X,5
01-09-2023,42Z8U,10
01-09-2023,68DXD,66
01-09-2023,6SXXK,5
01-09-2023,68426,250
01-09-2023,6O8KZ,30
01-09-2023,6V80G,33
01-09-2023,86OVQ,15
01-09-2023,8GKXD,10
01-09-2023,8U400,146
01-09-2023,02K4G,15
01-09-2023,0X8D4,30
01-09-2023,D0K2X,15
01-09-2023,D2D68,60
01-09-2023,D6SOI,37
01-09-2023,DZX0I,35
01-09-2023,DXD0I,46
01-09-2023,G466D,11
01-09-2023,G4KXU,10
01-09-2023,G048K,44
01-09-2023,I0UU6,5
01-09-2023,IGX4U,835
01-09-2023,IOXII,11
01-09-2023,IUQK8,3072
01-09-2023,IZV0Q,5
01-09-2023,KG2DI,25
01-09-2023,MKG82,4253
01-09-2023,MOIK6,25
01-09-2023,MQDGD,40
01-09-2023,MXSGO,15
01-09-2023,O4GXK,23
01-09-2023,QDVQ0,16
01-09-2023,S0446,600
01-09-2023,SGGKK,15
01-09-2023,SOM26,20
01-09-2023,U208K,108
01-09-2023,VSUO0,15
01-09-2023,X060X,12
01-09-2023,X8SV8,20
01-09-2023,XI6D2,93
01-09-2023,XQGM0,20
01-09-2023,XXZ28,49
01-09-2023,X6XGK,15
01-09-2023,XG0XI,2
01-09-2023,Z2S00,40
01-09-2023,Z8SDD,15
01-09-2023,ZIUK0,69
04-09-2023,00M06,17
04-09-2023,2226,3872
04-09-2023,2088,4030
04-09-2023,02MU0,1
04-09-2023,06XD4,1
04-09-2023,0GDGO,14
04-09-2023,0KOI2,11
04-09-2023,0KZQ4,50
04-09-2023,2860M,20
04-09-2023,28MKK,20
04-09-2023,2XZGU,125
04-09-2023,28K66,15
04-09-2023,2DDKI,15
04-09-2023,4282X,5
04-09-2023,42Z8U,10
04-09-2023,68DXD,66
04-09-2023,6SXXK,5
04-09-2023,68426,250
04-09-2023,6O8KZ,30
04-09-2023,6V80G,33
04-09-2023,86OVQ,15
04-09-2023,8GKXD,10
04-09-2023,8U400,146
04-09-2023,02K4G,15
04-09-2023,0X8D4,30
04-09-2023,D0K2X,15
04-09-2023,D2D68,60
04-09-2023,D6SOI,37
04-09-2023,DZX0I,35
04-09-2023,DXD0I,46
04-09-2023,G466D,11
04-09-2023,G4KXU,10
04-09-2023,G048K,44
04-09-2023,I0UU6,5
04-09-2023,IGX4U,835
04-09-2023,IOXII,11
04-09-2023,IUQK8,3072
04-09-2023,IZV0Q,5
04-09-2023,KG2DI,25
04-09-2023,M24MK,30
04-09-2023,MKG82,4268
04-09-2023,MOIK6,25
04-09-2023,MQDGD,40
04-09-2023,MXSGO,15
04-09-2023,O4GXK,23
04-09-2023,QDVQ0,16
04-09-2023,S0446,600
04-09-2023,SGGKK,15
04-09-2023,SOM26,20
04-09-2023,U208K,108
04-09-2023,VSUO0,15
04-09-2023,X060X,12
04-09-2023,X8SV8,20
04-09-2023,XI6D2,93
04-09-2023,XQGM0,20
04-09-2023,XXZ28,49
04-09-2023,X6XGK,15
04-09-2023,XG0XI,2
04-09-2023,Z2S00,40
04-09-2023,Z8SDD,15
04-09-2023,ZIUK0,69
05-09-2023,00M06,4
05-09-2023,2088,160
05-09-2023,02MU0,1
05-09-2023,06XD4,1
05-09-2023,0GDGO,14
05-09-2023,0KOI2,1
05-09-2023,2860M,20
05-09-2023,2XZGU,125
05-09-2023,28K66,15
05-09-2023,68DXD,21
05-09-2023,68426,114
05-09-2023,6O8KZ,30
05-09-2023,6V80G,33
05-09-2023,8Q2U2,1
05-09-2023,8U400,61
05-09-2023,0X8D4,10
05-09-2023,D0K2X,15
05-09-2023,D6SOI,37
05-09-2023,DXD0I,16
05-09-2023,G466D,1
05-09-2023,G4KXU,10
05-09-2023,G048K,4
05-09-2023,IGX4U,400
05-09-2023,IOXII,1
05-09-2023,KG2DI,15
05-09-2023,MXSGO,15
05-09-2023,O4GXK,23
05-09-2023,QDVQ0,16
05-09-2023,S0446,245
05-09-2023,SGGKK,15
05-09-2023,U208K,53
05-09-2023,X060X,12
05-09-2023,X8SV8,20
05-09-2023,XI6D2,48
05-09-2023,XXZ28,49
05-09-2023,XG0XI,2
05-09-2023,Z2S00,40
05-09-2023,ZIUK0,69
06-09-2023,00M06,4
06-09-2023,06XD4,1
06-09-2023,0GDGO,14
06-09-2023,0KOI2,1
06-09-2023,2860M,20
06-09-2023,28K66,15
06-09-2023,68DXD,21
06-09-2023,68426,114
06-09-2023,6O8KZ,30
06-09-2023,6V80G,33
06-09-2023,8Q2U2,1
06-09-2023,8U400,61
06-09-2023,0X8D4,10
06-09-2023,D0K2X,15
06-09-2023,DXD0I,16
06-09-2023,G466D,1
06-09-2023,G4KXU,10
06-09-2023,G048K,4
06-09-2023,IGX4U,400
06-09-2023,IOXII,1
06-09-2023,KG2DI,15
06-09-2023,MXSGO,15
06-09-2023,O4GXK,23
06-09-2023,QDVQ0,16
06-09-2023,S0446,245
06-09-2023,SGGKK,15
06-09-2023,U208K,53
06-09-2023,X060X,12
06-09-2023,X8SV8,20
06-09-2023,XI6D2,48
06-09-2023,XXZ28,49
06-09-2023,XG0XI,2
06-09-2023,Z2S00,40
06-09-2023,ZIUK0,69
07-09-2023,0KOI2,1
07-09-2023,2860M,20
07-09-2023,28K66,15
07-09-2023,68DXD,21
07-09-2023,68426,110
07-09-2023,6O8KZ,30
07-09-2023,6V80G,33
07-09-2023,8Q2U2,1
07-09-2023,8U400,61
07-09-2023,0X8D4,10
07-09-2023,D0K2X,15
07-09-2023,DXD0I,16
07-09-2023,G466D,1
07-09-2023,G4KXU,10
07-09-2023,G048K,4
07-09-2023,IGX4U,372
07-09-2023,IOXII,1
07-09-2023,KG2DI,15
07-09-2023,MXSGO,15
07-09-2023,O4GXK,23
07-09-2023,QDVQ0,16
07-09-2023,S0446,245
07-09-2023,SGGKK,15
07-09-2023,U208K,49
07-09-2023,X060X,12
07-09-2023,X8SV8,20
07-09-2023,XI6D2,44
07-09-2023,XXZ28,49
07-09-2023,XG0XI,2
07-09-2023,Z2S00,40
07-09-2023,ZIUK0,69
08-09-2023,0KOI2,1
08-09-2023,2860M,20
08-09-2023,28K66,15
08-09-2023,68DXD,21
08-09-2023,68426,110
08-09-2023,6O8KZ,30
08-09-2023,6V80G,33
08-09-2023,8U400,61
08-09-2023,0X8D4,10
08-09-2023,D0K2X,15
08-09-2023,DXD0I,16
08-09-2023,G466D,1
08-09-2023,G4KXU,10
08-09-2023,G048K,4
08-09-2023,IGX4U,372
08-09-2023,IOXII,1
08-09-2023,KG2DI,15
08-09-2023,MXSGO,15
08-09-2023,O4GXK,23
08-09-2023,QDVQ0,16
08-09-2023,S0446,245
08-09-2023,SGGKK,15
08-09-2023,U208K,49
08-09-2023,X8SV8,20
08-09-2023,XI6D2,44
08-09-2023,XXZ28,49
08-09-2023,XG0XI,2
08-09-2023,Z2S00,40
08-09-2023,ZIUK0,69
11-09-2023,00M06,2
11-09-2023,0KOI2,1
11-09-2023,2860M,20
11-09-2023,68DXD,21
11-09-2023,644G4,5
11-09-2023,68426,70
11-09-2023,6V80G,33
11-09-2023,8U400,36
11-09-2023,0X8D4,10
11-09-2023,DXD0I,16
11-09-2023,G466D,1
11-09-2023,G048K,4
11-09-2023,IGX4U,267
11-09-2023,IOXII,1
